#Summary: Table of analog control registers
----
==Table of analog control registers==
|| *PIC* || *ANSEL*  || *ANSELH* || *ANSEL0* || *ANSEL1* || *ANSELA* || *ANSELB* || *ANSELC* || *ANSELD* || *ANSELE* || *ADCON*  || *ADCON0* || *ADCON1* || *ADCON2* || *ADCON3* || *CMCON*  || *CMCON1* || *CMCON2* ||
|| 18F4423    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4431    ||- || - || ANSEL0 || ANSEL1 || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || ADCON3 || - || - || - ||
|| 18F4439    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F4450    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F4455    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4458    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F448     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || CMCON || - || - ||
|| 18F4480    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F44J10   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F44J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F44J50   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F44K20   ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F4510    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4515    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F452     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F4520    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4523    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4525    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4539    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F4550    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4553    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F458     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || CMCON || - || - ||
|| 18F4580    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4585    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F45J10   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F45J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F45J50   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F45K20   ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F4610    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4620    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4680    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4682    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4685    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F46J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F46J50   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F46K20   ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F6310    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6390    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6393    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F63J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F63J90   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6410    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6490    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6493    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F64J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F64J90   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6520    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6525    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6527    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6585    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F65J10   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F65J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F65J15   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F65J50   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F65J90   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6620    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6621    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6622    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6627    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6628    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6680    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F66J10   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F66J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
